title,id,activity,status
shared memory construct to avoid need for serialization between processes,35813,2019-12-10.07:52:25,1
configured libdir not correctly passed to Python executable,36758,2019-12-10.07:51:18,1
Multiple test failures in GCC and Clang optional builds on Travis CI,36414,2019-12-10.07:50:10,1
test_recursion_limit in test_threading crashes with SIGSEGV on android,38852,2019-12-10.07:43:40,1
Incorrect documentation for `s#` arguments in C API argument parsing,37465,2019-12-10.05:48:47,1
Small typo in Lib/test/test_statistics.py: tranlation -> translation,39002,2019-12-10.01:37:03,2
Idle autocomplete window doesn't show up,38943,2019-12-10.01:17:49,2
Idle completion windows should close on Escape key,38944,2019-12-09.23:50:49,2
"IDLE completions: format, factor, and fix",27609,2019-12-09.23:22:50,1
Small typo in Lib/test/test__locale.py: thousauds -> thousands,39009,2019-12-09.22:16:23,2
subprocess.Popen.send_signal() should poll the process,38630,2019-12-09.22:04:42,1
Add direct anchors to regex syntax documentation,38975,2019-12-09.21:41:44,1
socket: change listen() default backlog from 128 to 4096?,38699,2019-12-09.21:28:39,1
"test_unparse leaked [35, 5, 6] references: fail randomly, pass when run again",39003,2019-12-09.20:27:31,2
"remove support for platforms without ""long long""",27961,2019-12-09.20:22:24,2
Import genericpath fails with python -S,38990,2019-12-09.19:48:54,2
Add audit hooks to winreg module,39007,2019-12-09.19:36:29,2
PySys_Audit should require PY_SSIZE_T_CLEAN,39008,2019-12-09.19:22:36,2
pip install selects 32 bit wheels for 64 bit python if vcvarsall.bat amd64_x86 in environment,38989,2019-12-09.19:01:12,1
better name for re.error Exception class.,38981,2019-12-09.18:33:10,1
testFsum failure caused by constant folding of a float expression,38992,2019-12-09.18:22:49,2
Add support for extended color functions in ncurses 6.1,36982,2019-12-09.16:59:31,1
3.8.0 on GNU/Linux fails to find shared library,38987,2019-12-09.16:55:37,2
Postponed annotations break inspection of dataclasses,34776,2019-12-09.16:41:55,2
Add ability to get/set tzinfo on datetime instances in C API,30155,2019-12-09.16:15:45,1
Document contextvars C API,33592,2019-12-09.16:13:46,1
Reorganize C API tests,34272,2019-12-09.16:13:39,1
